X,Experimental,Symbolic
Amla Oil,0.11598869713576793,0.12592298019599257
Badam Oil,0.11670230688721084,0.11393702086378714
Castor Oil,0.12605198679368534,0.1390057575556992
Ghee,0.14885831999962645,0.17931891712778697
Milk,0.09185608278805926,0.08717301529359255
Olive Oil,0.1206146455212336,0.11593190638225
Pepsi,0.12114432579575535,0.15272858210590318
Sprite,0.10580815207816696,0.12115684666122514
Vinegar,0.13867389623955334,0.1292844085208543
Water,0.12740071923224777,0.13825192010396706
15W40,0.14672353826608447,0.13745518440983523
20W40,0.15285062006828987,0.14353602499688473
2T,0.14874612697635192,0.15358537240767262
SAE30,0.14515587944648828,0.10689027455333232
HP90,0.15812983767917105,0.12363148102891039
